latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,nearest_industrial_km,nearest_industrial_type,nearest_industrial_name,nearest_industrial_region,nearest_industrial_latitude,nearest_industrial_longitude,facility_osm_id,cpcb_name,cpcb_sector,nearest_place_km,nearest_place_name,nearest_place_type,in_forest,in_farmland,final_class,place_description,facility_osm_id_str,is_anomaly,baseline_frp_mean,baseline_frp_std,daynight_flag,confidence_num,ml_prediction,ml_confidence
10.58596,77.47468,335.91,0.49,0.49,2026-09-14,845,N,VIIRS,n,2.0NRT,294.37,3.36,D,24.61333105353176,industrial,Amaravathy Co-Op Sugar Mills (Distillery),cpcb_verified,10.5876,77.2495,cpcb_4,Amaravathy Co-Op Sugar Mills (Distillery),Distillery,3.186998810130405,Keeranur,village,False,False,agricultural_burn,"Agricultural cropland near Keeranur (village, 3.2 km)",cpcb_4,False,,,1,1,agricultural_burn,0.986
12.1599,77.08751,335.36,0.49,0.48,2026-09-14,845,N,VIIRS,n,2.0NRT,290.93,2.56,D,87.88232590188821,industrial,Madras Aluminium Company Ltd (MALCO),cpcb_verified,11.788,77.8004,cpcb_0,Madras Aluminium Company Ltd (MALCO),Aluminium,0.1984230982542608,Hosa Hampapura,village,False,False,agricultural_burn,"Agricultural cropland near Hosa Hampapura (village, 0.2 km)",cpcb_0,False,,,1,1,agricultural_burn,0.987
13.16096,80.28231,302.06,0.48,0.65,2026-09-14,1940,N,VIIRS,n,2.0NRT,281.8,0.77,N,0.7304080147802449,industrial,CPCL Manali Refinery Captive Power Station,tn_north,13.1675279,80.2824164,1134607892,,,1.71874056800055,Kargil Nagar,suburb,False,False,industrial_fire,Industrial facility (CPCL Manali Refinery Captive Power Station),1134607892,False,2.89,2.998132752230961,0,1,industrial_fire,0.985
8.76723,77.33446,339.94,0.4,0.37,2026-09-15,828,N,VIIRS,n,2.0NRT,299.7,3.38,D,13.69428560473152,industrial,Empee Sugars and Chemicals Ltd,cpcb_verified,8.7089,77.4442,cpcb_38,Empee Sugars and Chemicals Ltd,Sugar,2.1612218361806907,Sivasailam,village,True,False,wildfire,Forest / Woodland reserve near Sivasailam,cpcb_38,False,,,1,1,wildfire,0.983
8.77061,77.33401,337.4,0.4,0.37,2026-09-15,828,N,VIIRS,n,2.0NRT,299.69,4.28,D,13.919202536856734,industrial,Empee Sugars and Chemicals Ltd,cpcb_verified,8.7089,77.4442,cpcb_38,Empee Sugars and Chemicals Ltd,Sugar,1.915462628517544,Sivasailam,village,True,False,wildfire,Forest / Woodland reserve near Sivasailam,cpcb_38,False,,,1,1,wildfire,0.984
10.76942,77.88364,343.64,0.42,0.38,2026-09-15,828,N,VIIRS,n,2.0NRT,302.55,4.83,D,18.926278125589487,industrial,Karur Textile Park,tn_central,10.8868058,78.0091276,1001532911,,,2.9388031642410217,Aravakurichi,town,False,False,scrub_biomass_burn,Rural scrubland / open biomass near Aravakurichi (2.9 km),1001532911,False,,,1,1,scrub_biomass_burn,0.981
10.86702,77.79005,330.84,0.42,0.38,2026-09-15,828,N,VIIRS,n,2.0NRT,297.6,1.71,D,24.023633353233127,industrial,Karur Textile Park,tn_central,10.8868058,78.0091276,1001532911,,,2.690726788680096,Periyathirumangalam,village,False,False,agricultural_burn,"Agricultural cropland near Periyathirumangalam (village, 2.7 km)",1001532911,False,,,1,1,agricultural_burn,0.986
10.93953,79.12907,350.85,0.48,0.4,2026-09-15,828,N,VIIRS,n,2.0NRT,307.21,11.24,D,9.039683505123506,industrial,Sugar Factory,tn_central,11.0074056,79.0834939,541287337,,,1.2497592003929223,Anaikudy,village,False,False,agricultural_burn,"Agricultural cropland near Anaikudy (village, 1.2 km)",541287337,False,10.91,5.455,1,1,agricultural_burn,0.986
10.98571,79.75504,330.2,0.52,0.42,2026-09-15,828,N,VIIRS,n,2.0NRT,297.38,2.91,D,3.222255176862066,industrial,unnamed,tn_central,10.9638623,79.7744322,759412286,,,2.179266533749153,Nedungadu,village,False,False,agricultural_burn,"Agricultural cropland near Nedungadu (village, 2.2 km)",759412286,False,,,1,1,agricultural_burn,0.984
11.01777,79.29658,344.42,0.49,0.41,2026-09-15,828,N,VIIRS,n,2.0NRT,301.52,5.75,D,6.282872131576176,industrial,Thirumandangudi Mill,tn_central,10.9612668,79.2966358,1216322364,,,1.406970074819618,Sathambady,village,False,False,agricultural_burn,"Agricultural cropland near Sathambady (village, 1.4 km)",1216322364,False,,,1,1,agricultural_burn,0.986
