facility_osm_id,baseline_frp_mean,baseline_frp_std,baseline_sample_count
1017185140,1.67,0.608111831820431,2
1017185166,3.045,0.5020458146424487,2
1017185168,1.775,0.2050609665440988,2
1017185179,1.87,0.935,1
1026902287,5.3,2.65,1
104170107,0.83,0.415,1
1055416512,6.6,3.3,1
1134607892,2.8899999999999997,2.9981327522309615,2
1166080735,2.25,1.125,1
129673928,1.49,0.745,1
1310874085,7.15,1.1030865786510136,2
1356956670,6.09,3.045,1
138337700,3.305,1.1950104602052656,2
1425509044,3.44,1.72,1
1425509051,0.31,0.155,1
1468887795,1.016,0.6221977177714492,5
165199027,6.1,3.05,1
178523246,1.1757142857142857,0.9439960653671028,7
178523253,4.55,2.275,1
178523269,3.57,1.785,1
178531096,2.66,1.33,1
191527886,3.185,1.703809457265297,4
202529583,2.08,1.04,1
218212406,4.27,4.85415972817816,4
29200667,1.69,0.845,1
305328715,3.07,1.535,1
30738573,3.96,1.98,1
31252824,0.52,0.26,1
376269080,5.29,2.645,1
38444699,2.3,1.15,1
464939298,8.75,4.375,1
464940405,8.39,4.195,1
541287337,10.91,5.455,1
590858784,6.956666666666667,3.0882411391167843,3
590858788,3.54,1.4400000000000002,4
590858789,7.49,3.745,1
645549284,4.68,2.34,1
661546337,3.495,0.8633462032502758,4
673827537,8.545,0.37476659402887097,2
726539282,4.18,2.09,1
726550280,4.74,2.37,1
727316888,9.66,4.83,1
727318688,12.81,4.45477272147525,2
731118758,5.154999999999999,0.3323401871576775,2
743737307,3.12,1.56,1
749602645,3.96,1.98,1
749986036,4.88,2.44,1
775148777,4.37,2.185,1
840721277,2.445,1.3788582233137676,2
840721279,1.46,1.324889932535278,4
840721285,1.5444444444444445,1.0770690682485398,9
906387735,5.58,2.79,1
940994472,3.325,1.660210829985156,4
98357304,1.57,0.785,1
986260251,3.9066666666666667,0.7563288526384099,3
986279206,1.38,0.69,1
990641679,1.97,0.985,1
cpcb_21,1.67,0.835,1
