latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,nearest_industrial_km,nearest_industrial_type,nearest_industrial_name,nearest_industrial_region,nearest_industrial_latitude,nearest_industrial_longitude,preliminary_class,nearest_place_km,nearest_place_name,nearest_place_type,in_forest,in_farmland,final_class,place_description
8.29097,80.24873,334.09,0.49,0.4,2026-09-18,750,N20,VIIRS,n,2.0NRT,295.97,5.13,D,151.18330622570917,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,likely_natural,1.032522763406221,Sinharagama,village,False,False,agricultural_burn,"Agricultural cropland near Sinharagama (village, 1.0 km)"
8.29219,80.24799,330.91,0.49,0.4,2026-09-18,750,N20,VIIRS,l,2.0NRT,295.5,2.84,D,151.0284448681591,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,likely_natural,1.1874192435198505,Sinharagama,village,False,False,agricultural_burn,"Agricultural cropland near Sinharagama (village, 1.2 km)"
8.38226,77.55321,343.78,0.48,0.48,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.74,10.49,D,34.451075448359354,industrial,Sun Paper Mills Limited,cpcb_verified,8.6822,77.4747,likely_natural,3.8475992691458734,Rosemiyapuram,village,False,False,agricultural_burn,"Agricultural cropland near Rosemiyapuram (village, 3.8 km)"
8.383,77.55364,344.1,0.48,0.48,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.42,10.71,D,34.38332804046868,industrial,Sun Paper Mills Limited,cpcb_verified,8.6822,77.4747,likely_natural,3.7599013765763805,Rajapudur,village,False,False,agricultural_burn,"Agricultural cropland near Rajapudur (village, 3.8 km)"
8.75914,77.37657,343.8,0.48,0.48,2026-09-18,750,N20,VIIRS,n,2.0NRT,300.24,5.85,D,9.298191534657606,industrial,Empee Sugars and Chemicals Ltd,cpcb_verified,8.7089,77.4442,likely_natural,1.9468744017734763,Karuthapillaiyur,village,False,False,agricultural_burn,"Agricultural cropland near Karuthapillaiyur (village, 1.9 km)"
8.77212,77.99081,334.4,0.44,0.46,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.95,2.92,D,14.41077113927046,industrial,IND Barath Thermal Power Ltd,cpcb_verified,8.8894,77.935,likely_natural,5.6327462542524716,Mudivaithanendal,village,False,False,scrub_biomass_burn,Rural scrubland / open biomass near Mudivaithanendal (5.6 km)
8.81132,80.06059,339.03,0.5,0.41,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.02,7.45,D,97.70290091778008,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,likely_natural,3.9012602658349804,Murunkan,village,False,False,agricultural_burn,"Agricultural cropland near Murunkan (village, 3.9 km)"
8.81336,80.06372,333.22,0.5,0.41,2026-09-18,750,N20,VIIRS,l,2.0NRT,299.36,5.97,D,97.8693067253227,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,likely_natural,4.055261531268129,Murunkan,village,False,False,agricultural_burn,"Agricultural cropland near Murunkan (village, 4.1 km)"
9.14517,77.5752,336.75,0.46,0.47,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.57,6.57,D,48.68433426535231,industrial,IND Barath Thermal Power Ltd,cpcb_verified,8.8894,77.935,likely_natural,3.3091734458362847,Shanmuganallur,village,False,False,agricultural_burn,"Agricultural cropland near Shanmuganallur (village, 3.3 km)"
9.26795,77.466,338.75,0.47,0.48,2026-09-18,750,N20,VIIRS,n,2.0NRT,297.54,4.39,D,62.20961517901719,industrial,Empee Sugars and Chemicals Ltd,cpcb_verified,8.7089,77.4442,likely_natural,4.587735411134545,Rayagiri,village,False,False,agricultural_burn,"Agricultural cropland near Rayagiri (village, 4.6 km)"
