latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,nearest_industrial_km,nearest_industrial_type,nearest_industrial_name,nearest_industrial_region,preliminary_class
17.93212,95.2068,327.1,0.33,0.55,2026-09-16,629,N,VIIRS,n,2.0NRT,288.69,2.44,D,923.1480669081003,industrial,Dhamra Port,jharkhand_odisha,likely_natural
18.12336,95.82533,327.92,0.59,0.53,2026-09-16,629,N,VIIRS,n,2.0NRT,288.63,2.22,D,976.9096441784276,industrial,Dhamra Port,jharkhand_odisha,likely_natural
7.78505,80.01879,333.3,0.39,0.36,2026-09-16,807,N,VIIRS,n,2.0NRT,295.66,1.47,D,38.10649806423566,works,unnamed,tamil_nadu,likely_natural
8.3511,80.62151,333.25,0.38,0.36,2026-09-16,807,N,VIIRS,n,2.0NRT,296.58,3.88,D,19.14760910696794,plant,unnamed,tamil_nadu,likely_natural
8.40335,81.0512,330.54,0.38,0.36,2026-09-16,807,N,VIIRS,n,2.0NRT,287.92,2.55,D,65.84908869214773,plant,unnamed,tamil_nadu,likely_natural
10.86468,78.57971,346.45,0.41,0.37,2026-09-16,809,N,VIIRS,n,2.0NRT,303.06,6.54,D,12.190208751725937,industrial,unnamed,tamil_nadu,likely_natural
11.06063,77.64198,336.72,0.44,0.38,2026-09-16,809,N,VIIRS,l,2.0NRT,301.93,8.03,D,5.181194119917974,industrial,unnamed,tamil_nadu,likely_natural
11.88033,79.37421,332.62,0.39,0.36,2026-09-16,809,N,VIIRS,n,2.0NRT,302.2,4.36,D,6.014747502098284,industrial,Chengalvarayan Co-operative Sugar Mills Ltd. Periyasevalai,tamil_nadu,likely_natural
12.41312,79.09644,334.22,0.39,0.36,2026-09-16,809,N,VIIRS,n,2.0NRT,303.56,2.54,D,17.677460934132945,industrial,unnamed,tamil_nadu,likely_natural
12.68162,79.69539,331.85,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,302.08,2.56,D,5.45845495835576,industrial,Cheyyar SEZ Developers Pvt. Ltd.,andhra_telangana,likely_natural
12.80444,79.90247,335.05,0.38,0.36,2026-09-16,809,N,VIIRS,n,2.0NRT,301.49,3.44,D,0.08807052882312273,industrial,unnamed,andhra_telangana,likely_industrial
12.80921,79.95585,332.37,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,302.72,1.92,D,3.21859286288804,works,unnamed,andhra_telangana,likely_natural
12.83462,79.9446,330.86,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,304.3,3.9,D,0.2847445810575489,industrial,Renault Nissan,andhra_telangana,likely_industrial
12.83739,79.94054,335.33,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,307.01,1.79,D,0.25600723971651435,industrial,Renault Nissan,andhra_telangana,likely_industrial
12.8407,79.94003,330.26,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,301.79,1.79,D,0.5924060305191722,industrial,Renault Nissan,andhra_telangana,likely_industrial
12.85502,79.94497,331.64,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,302.95,2.95,D,0.28357742023744537,industrial,unnamed,andhra_telangana,likely_industrial
12.85833,79.94445,333.53,0.38,0.36,2026-09-16,809,N,VIIRS,n,2.0NRT,303.38,3.78,D,0.08891641385196206,industrial,unnamed,andhra_telangana,likely_industrial
