latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,nearest_industrial_km,nearest_industrial_type,nearest_industrial_name,nearest_industrial_region,preliminary_class,in_forest,in_farmland,final_class,facility_osm_id,facility_distance_km,baseline_frp_mean,baseline_frp_std,baseline_sample_count,is_anomaly,daynight_flag,confidence_num,ml_prediction,ml_confidence,ml_agrees_with_rules
17.93212,95.2068,327.1,0.33,0.55,2026-09-16,629,N,VIIRS,n,2.0NRT,288.69,2.44,D,923.1480669081004,industrial,Dhamra Port,jharkhand_odisha,likely_natural,False,False,unclassified,158493338,923.1480669081004,,,,False,1,1,unclassified,0.9667708333333332,True
18.12336,95.82533,327.92,0.59,0.53,2026-09-16,629,N,VIIRS,n,2.0NRT,288.63,2.22,D,976.9096441784276,industrial,Dhamra Port,jharkhand_odisha,likely_natural,False,False,unclassified,158493338,976.9096441784276,,,,False,1,1,unclassified,0.9517708333333332,True
7.78505,80.01879,333.3,0.39,0.36,2026-09-16,807,N,VIIRS,n,2.0NRT,295.66,1.47,D,38.10649806423566,works,unnamed,tamil_nadu,likely_natural,False,False,unclassified,891580861,38.10649806423566,,,,False,1,1,unclassified,0.8905882352941177,True
8.3511,80.62151,333.25,0.38,0.36,2026-09-16,807,N,VIIRS,n,2.0NRT,296.58,3.88,D,19.14760910696794,plant,unnamed,tamil_nadu,likely_natural,False,False,unclassified,1455459259,19.14760910696794,,,,False,1,1,wildfire,0.5833060476745127,False
8.40335,81.0512,330.54,0.38,0.36,2026-09-16,807,N,VIIRS,n,2.0NRT,287.92,2.55,D,65.84908869214773,plant,unnamed,tamil_nadu,likely_natural,False,False,unclassified,1455459259,65.84908869214773,,,,False,1,1,unclassified,0.9367708333333333,True
10.86468,78.57971,346.45,0.41,0.37,2026-09-16,809,N,VIIRS,n,2.0NRT,303.06,6.54,D,12.190208751725937,industrial,unnamed,tamil_nadu,likely_natural,False,True,agricultural_burn,1410857831,12.190208751725937,,,,False,1,1,unclassified,0.6588226515387733,False
11.06063,77.64198,336.72,0.44,0.38,2026-09-16,809,N,VIIRS,l,2.0NRT,301.93,8.03,D,5.181194119917974,industrial,unnamed,tamil_nadu,likely_natural,False,False,unclassified,1268477325,5.181194119917974,,,,False,1,0,unclassified,0.697114439388335,True
11.88033,79.37421,332.62,0.39,0.36,2026-09-16,809,N,VIIRS,n,2.0NRT,302.2,4.36,D,6.014747502098284,industrial,Chengalvarayan Co-operative Sugar Mills Ltd. Periyasevalai,tamil_nadu,likely_natural,False,False,unclassified,352996973,6.014747502098284,,,,False,1,1,unclassified,0.5422740528166274,True
12.41312,79.09644,334.22,0.39,0.36,2026-09-16,809,N,VIIRS,n,2.0NRT,303.56,2.54,D,17.677460934132945,industrial,unnamed,tamil_nadu,likely_natural,False,False,unclassified,1025064116,17.677460934132945,,,,False,1,1,wildfire,0.5083814223967047,False
12.68162,79.69539,331.85,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,302.08,2.56,D,5.45845495835576,industrial,Cheyyar SEZ Developers Pvt. Ltd.,andhra_telangana,likely_natural,False,False,unclassified,597913161,5.45845495835576,,,,False,1,0,unclassified,0.5184527787661436,True
