latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
6.18732,80.72151,330.17,0.43,0.62,2026-09-02,729,N,VIIRS,n,2.0NRT,290.31,1.55,D
6.26317,81.08282,332.7,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,294.58,1.77,D
6.29037,80.85827,335.56,0.42,0.61,2026-09-02,729,N,VIIRS,n,2.0NRT,295.14,5.02,D
6.45157,81.09538,331.57,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,292.73,3.54,D
6.55132,81.14516,332.0,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,297.91,1.69,D
6.56966,81.1199,335.08,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,299.08,3.48,D
6.59253,80.92814,335.25,0.41,0.61,2026-09-02,729,N,VIIRS,n,2.0NRT,297.81,4.39,D
6.69094,81.32561,332.43,0.38,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,299.29,3.63,D
6.7207,81.24134,335.85,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,298.04,2.3,D
6.74808,81.52004,330.74,0.37,0.58,2026-09-02,729,N,VIIRS,n,2.0NRT,300.2,3.27,D
6.79481,81.59746,331.5,0.36,0.58,2026-09-02,729,N,VIIRS,l,2.0NRT,302.94,2.88,D
6.80013,81.59657,332.93,0.36,0.58,2026-09-02,729,N,VIIRS,n,2.0NRT,302.59,2.88,D
6.80072,81.59989,353.05,0.36,0.58,2026-09-02,729,N,VIIRS,n,2.0NRT,303.49,2.88,D
6.85732,81.46571,335.27,0.37,0.58,2026-09-02,729,N,VIIRS,n,2.0NRT,299.73,3.86,D
6.86213,81.46165,340.55,0.37,0.58,2026-09-02,729,N,VIIRS,n,2.0NRT,298.78,3.86,D
7.0117,81.60833,345.12,0.36,0.57,2026-09-02,729,N,VIIRS,n,2.0NRT,302.21,5.27,D
7.01405,81.62167,333.68,0.36,0.57,2026-09-02,729,N,VIIRS,n,2.0NRT,299.88,6.13,D
7.05386,81.45487,346.6,0.37,0.58,2026-09-02,729,N,VIIRS,n,2.0NRT,297.38,4.91,D
7.0563,81.45523,351.52,0.37,0.58,2026-09-02,729,N,VIIRS,n,2.0NRT,297.06,4.42,D
7.05682,81.45827,330.89,0.37,0.58,2026-09-02,729,N,VIIRS,n,2.0NRT,297.05,4.42,D
7.05835,81.59419,338.1,0.36,0.57,2026-09-02,729,N,VIIRS,n,2.0NRT,299.05,3.42,D
7.05969,81.45664,351.02,0.37,0.58,2026-09-02,729,N,VIIRS,n,2.0NRT,298.1,7.77,D
7.06316,81.80867,331.94,0.35,0.57,2026-09-02,729,N,VIIRS,n,2.0NRT,297.59,3.02,D
7.09891,81.70583,367.0,0.35,0.57,2026-09-02,729,N,VIIRS,h,2.0NRT,297.65,3.48,D
7.09954,81.70715,349.97,0.35,0.57,2026-09-02,729,N,VIIRS,n,2.0NRT,297.84,6.61,D
7.11475,81.67311,337.01,0.36,0.57,2026-09-02,729,N,VIIRS,n,2.0NRT,299.55,3.78,D
7.17839,81.81988,330.11,0.35,0.57,2026-09-02,729,N,VIIRS,n,2.0NRT,299.41,2.86,D
7.21062,81.82043,345.56,0.35,0.56,2026-09-02,729,N,VIIRS,n,2.0NRT,300.66,3.53,D
7.21071,81.82072,344.85,0.35,0.56,2026-09-02,729,N,VIIRS,n,2.0NRT,300.9,4.08,D
7.25258,80.891,351.23,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,297.9,6.92,D
7.25519,81.708,342.33,0.35,0.57,2026-09-02,729,N,VIIRS,n,2.0NRT,299.97,7.73,D
7.2765,81.73724,330.59,0.35,0.57,2026-09-02,729,N,VIIRS,n,2.0NRT,296.67,1.36,D
7.29333,81.80293,330.0,0.35,0.56,2026-09-02,729,N,VIIRS,n,2.0NRT,298.71,1.98,D
7.30922,81.77083,367.0,0.35,0.57,2026-09-02,729,N,VIIRS,h,2.0NRT,300.63,9.2,D
7.30948,81.76926,367.0,0.35,0.57,2026-09-02,729,N,VIIRS,h,2.0NRT,300.2,4.54,D
7.31005,81.77242,333.94,0.35,0.57,2026-09-02,729,N,VIIRS,n,2.0NRT,299.4,4.54,D
