latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
8.29097,80.24873,334.09,0.49,0.4,2026-09-18,750,N20,VIIRS,n,2.0NRT,295.97,5.13,D
8.29219,80.24799,330.91,0.49,0.4,2026-09-18,750,N20,VIIRS,l,2.0NRT,295.5,2.84,D
8.38226,77.55321,343.78,0.48,0.48,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.74,10.49,D
8.383,77.55364,344.1,0.48,0.48,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.42,10.71,D
8.75914,77.37657,343.8,0.48,0.48,2026-09-18,750,N20,VIIRS,n,2.0NRT,300.24,5.85,D
8.77212,77.99081,334.4,0.44,0.46,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.95,2.92,D
8.81132,80.06059,339.03,0.5,0.41,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.02,7.45,D
8.81336,80.06372,333.22,0.5,0.41,2026-09-18,750,N20,VIIRS,l,2.0NRT,299.36,5.97,D
9.14517,77.5752,336.75,0.46,0.47,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.57,6.57,D
9.26795,77.466,338.75,0.47,0.48,2026-09-18,750,N20,VIIRS,n,2.0NRT,297.54,4.39,D
9.35173,78.81602,335.87,0.38,0.43,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.58,2.15,D
9.3523,78.81947,332.78,0.38,0.43,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.16,4.53,D
9.54265,77.79662,336.61,0.44,0.46,2026-09-18,750,N20,VIIRS,n,2.0NRT,297.82,2.33,D
9.58262,78.56652,341.58,0.39,0.44,2026-09-18,750,N20,VIIRS,n,2.0NRT,301.94,7.41,D
9.60665,78.4635,335.43,0.4,0.44,2026-09-18,750,N20,VIIRS,n,2.0NRT,300.05,4.88,D
9.60725,78.46708,349.76,0.4,0.44,2026-09-18,750,N20,VIIRS,n,2.0NRT,300.69,4.88,D
9.64359,78.43144,339.35,0.4,0.44,2026-09-18,750,N20,VIIRS,n,2.0NRT,302.35,4.65,D
9.80334,78.26556,337.05,0.41,0.45,2026-09-18,750,N20,VIIRS,n,2.0NRT,297.07,5.55,D
9.85383,77.73679,336.64,0.44,0.46,2026-09-18,750,N20,VIIRS,n,2.0NRT,301.58,8.35,D
9.88316,78.21815,330.53,0.41,0.45,2026-09-18,750,N20,VIIRS,n,2.0NRT,298.89,2.19,D
9.95489,79.10921,341.58,0.54,0.42,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.51,7.04,D
9.95874,79.10856,340.2,0.54,0.42,2026-09-18,750,N20,VIIRS,n,2.0NRT,300.08,9.6,D
10.43074,78.34257,333.9,0.39,0.44,2026-09-18,750,N20,VIIRS,n,2.0NRT,299.67,3.49,D
10.52222,78.59944,333.55,0.57,0.43,2026-09-18,750,N20,VIIRS,n,2.0NRT,298.55,2.12,D
