osm_id,region,type,name,latitude,longitude,sipcot_verified,sipcot_sector,cpcb_verified,cpcb_name,cpcb_sector
23186326,tn_north,industrial,unnamed,13.0530913,80.2401556,False,,False,,
23648236,tn_north,industrial,Madras Export Processing Zone MEPZ,12.9429222,80.1214177,False,,False,,
25670561,tn_north,industrial,SIPCOT Irungattukottai,12.997417,80.0112007,True,Auto,False,,
25850550,tn_north,construction,Ennore SEZ Super Critical Thermal Power Project (Vayalur),13.2823822,80.310264,False,,False,,
27347413,tn_north,industrial,KK Nagar Container Freight Station,13.0459866,80.1952359,False,,False,,
27347551,tn_north,industrial,Vadapalani MTC Depot,13.0503887,80.2066617,False,,False,,
27434308,tn_north,industrial,AVM Studio,13.0463976,80.2049566,False,,False,,
27768970,tn_north,industrial,Central Medical Depot,13.0817596,80.265279,False,,False,,
27877926,tn_north,industrial,Anna Nagar West MTC Depot,13.0951554,80.1981042,False,,False,,
27954946,tn_north,industrial,Adyar Bus Depot,13.0067179,80.2532777,False,,False,,
28067383,tn_north,industrial,Saidapet MTC Depot,13.0146892,80.2256551,False,,False,,
28225364,tn_north,industrial,Audco Ltd,13.0248325,80.1804789,False,,False,,
28225370,tn_north,industrial,Larsen & Toubro,13.0258115,80.1785038,False,,False,,
28295518,tn_north,industrial,Corporation Asphalt Plant,13.0749634,80.2514177,False,,False,,
28295519,tn_north,industrial,FCI Godown,13.0745961,80.2491907,False,,False,,
28309779,tn_north,industrial,unnamed,12.9684486,80.1738452,False,,False,,
28342600,tn_north,industrial,Perambur MTC Depot,13.1015361,80.2491261,False,,False,,
28342737,tn_north,industrial,Basin Bridge Gas Turbine Power Station,13.0981662,80.2697294,False,,False,,
28347365,tn_north,industrial,Integral Coach Factory Carriage Works - ICF Chennai,13.1054074,80.2250691,False,,False,,
28348128,tn_north,industrial,Integral Coach Factory,13.098065,80.207667,False,,False,,
28350371,tn_north,industrial,Civil Supplies Godown,13.0870577,80.2164382,False,,False,,
29115918,tn_north,industrial,Corporation of Chennai - Pudupet Depot,13.0700186,80.2652801,False,,False,,
29200131,tn_north,industrial,Manali Petro Chemicals,13.1517928,80.2724237,False,,False,,
29200185,tn_north,industrial,Indian Oil Corporation,13.1420862,80.2807303,False,,False,,
29200202,tn_north,industrial,Container Corporation of India - CONCOR,13.147266,80.2870023,False,,False,,
29200357,tn_north,industrial,Bharath Petroleum,13.1258258,80.2826793,False,,False,,
29200367,tn_north,industrial,Hindustan Petroleum,13.122892,80.2812854,False,,False,,
29200386,tn_north,industrial,Indian Oil,13.122177,80.2781299,False,,False,,
29200536,tn_north,industrial,Carborundum Universal,13.1699051,80.309006,False,,False,,
29200545,tn_north,industrial,Thiruvottiyur MTC Depot,13.1722396,80.3045558,False,,False,,
29200667,tn_north,industrial,unnamed,13.184626,80.2997079,False,,False,,
29200671,tn_north,industrial,unnamed,13.1601565,80.2938837,False,,False,,
29200915,tn_north,industrial,unnamed,13.1562405,80.3047977,False,,False,,
29200955,tn_north,industrial,STP Container Terminal,13.164013,80.3080916,False,,False,,
29200958,tn_north,industrial,unnamed,13.1646984,80.3063941,False,,False,,
29200963,tn_north,industrial,Ananda Industries,13.1666483,80.3071002,False,,False,,
29201616,tn_north,industrial,unnamed,13.1802113,80.3113399,False,,False,,
29201694,tn_north,industrial,unnamed,13.15403,80.3015975,False,,False,,
29201863,tn_north,industrial,MRF Tyres,13.176676,80.3094279,False,,False,,
29201864,tn_north,industrial,unnamed,13.1746246,80.3088427,False,,False,,
29201865,tn_north,industrial,ITC Packaging,13.1829182,80.305251,False,,False,,
29202121,tn_north,industrial,Ennore Foundries,13.2119328,80.3217157,False,,False,,
29202122,tn_north,industrial,Ennore Foundries,13.2126907,80.3193326,False,,False,,
29202225,tn_north,industrial,EID Parry Fertilizers,13.2159452,80.3239761,False,,False,,
29202311,tn_north,industrial,Ennore MTC Depot,13.2151278,80.320893,False,,False,,
29245914,tn_north,industrial,Manali Fertilizers Limited - MFL,13.1717143,80.267823,False,,False,,
29246211,tn_north,industrial,unnamed,13.1700147,80.2571715,False,,False,,
29246499,tn_north,industrial,Madhavaram MTC Depot,13.1315179,80.2358382,False,,False,,
30078054,tn_north,industrial,Avadi MTC Depot,13.1210649,80.1020956,False,,False,,
30738573,tn_north,industrial,Ennore Thermal Power Station,13.1995006,80.3094811,False,,False,,
30749076,tn_north,industrial,MTC Workshop - Chrompet,12.9479658,80.1427747,False,,False,,
30750568,tn_north,industrial,FCI Warehouse - Chrompet,12.9389845,80.1368648,False,,False,,
30799480,tn_north,industrial,unnamed,13.1865414,80.2413602,False,,False,,
30889997,tn_north,industrial,Prasad Color Labs,13.0557869,80.2056092,False,,False,,
30973298,tn_north,industrial,Ayanavaram MTC Depot,13.0987302,80.2406601,False,,False,,
31004472,tn_north,industrial,Food Corporation of India - FCI Avadi,13.1240012,80.0732546,False,,False,,
31011639,tn_north,industrial,Ashok Leyland Vehicle Test Centre,13.2334306,80.2801366,False,,False,,
31012197,tn_north,industrial,SICAL Container Freight Station,13.2461259,80.2794757,False,,False,,
31012200,tn_north,industrial,Bay Container Storage Yard,13.2449646,80.2756047,False,,False,,
31252824,tn_north,industrial,Spartek Granites,13.0903615,79.9932355,False,,False,,
31253716,tn_north,industrial,Balaji Brewery,13.1058438,79.9611949,False,,False,,
31255897,tn_north,industrial,Indira cotton mills,12.9447443,80.13686,False,,False,,
31256393,tn_north,industrial,Avadi Carshed,13.1163523,80.122029,False,,False,,
31256674,tn_north,industrial,Tube Products of India,13.1208119,80.1142883,False,,False,,
31257284,tn_north,industrial,All India Radio Station,13.1392008,80.128828,False,,False,,
31723904,tn_north,industrial,TNSTC Bus Depot,12.5026914,80.1531349,False,,False,,
32254408,tn_north,industrial,Tambaram MTC Depot,12.932456,80.121215,False,,False,,
32541372,tn_north,industrial,Bharat Electronics Ltd.,13.02446,80.1928497,False,,False,,
32544980,tn_north,industrial,All India Radio,13.0109515,80.2264746,False,,False,,
32613777,tn_north,industrial,"MTC Bus Depot, KK Nagar",13.0347474,80.2053988,False,,False,,
32686524,tn_north,industrial,unnamed,13.0264659,80.2056649,False,,False,,
32686738,tn_north,industrial,unnamed,13.0137509,80.2016599,False,,False,,
32686766,tn_north,industrial,unnamed,13.0128747,80.2156829,False,,False,,
33016953,tn_north,industrial,International Flavour & Fragrances,13.0093027,80.192279,False,,False,,
