osm_id,name,place_type,latitude,longitude,district
243053506,Alwarpet,suburb,13.0338602,80.2545491,
243059228,Teynampet,suburb,13.0443237,80.2498455,
243059957,Gopalapuram,suburb,13.0497324,80.2582028,
243060007,Nandanam,suburb,13.0286286,80.240256,
243060039,Raja Annamalai Puram,suburb,13.0244783,80.253937,
243327628,Sriperumbudur,town,12.9666144,79.9458077,
243327788,Poonamallee,town,13.0417404,80.1006863,
243327790,Porur,suburb,13.0320131,80.158304,
243711632,Puthalapattu,village,13.3475231,79.0944011,
243711668,Ananthapuram,village,13.1673168,79.2128484,
243711679,Gopalapuram,village,13.1125855,79.3541555,
243713142,Ammoor,village,12.9766261,79.3627129,
243713144,Vellore,city,12.9071753,79.1309695,
245580128,Nagercoil,city,8.1839904,77.4315437,
245580136,Avudaiyalpuram,village,8.1967654,77.7673663,
245580820,Thirparappu,village,8.3950009,77.2630865,
245580881,Udangudi,village,8.4285429,78.0263978,
245581303,Nanguneri,town,8.4892568,77.6596709,
245581432,Thiruvananthapuram,city,8.4882267,76.947551,
245581468,Arumuganeri,village,8.569964,78.0956681,
245581571,Vagaikkulam,village,8.5898027,77.6696461,
245581609,Nazareth,town,8.5599258,77.9719457,
245581738,Melacheval,village,8.6718741,77.6152217,
245581740,Chirayinkeezhu,suburb,8.6611143,76.7880569,
245581822,Vikramasingapuram,village,8.7141792,77.3892867,
245581857,Tirunelveli,city,8.7331721,77.710255,
245581905,Alwarkuruchi,town,8.782604,77.3985651,
245582090,Kollam,city,8.8870533,76.5906696,
245582136,Ayoor,town,8.8978612,76.8601206,
245582143,Kulathupuzha,town,8.9065347,77.0564917,
245582181,Ottappidaram,town,8.9107366,78.0218901,
245582222,Kurukkuchalai,village,8.9314342,78.0883164,
245582256,Tenkasi,town,8.9567514,77.3121442,
245582478,Kottarakkara,town,9.0054869,76.7831987,
245582627,Sevalpatti,village,9.1314962,78.351854,
245582675,Vilattikulam,town,9.130928,78.167316,
245582795,Ettaiyapuram,town,9.1485222,77.9971639,
245582958,Sankarankovil,town,9.170073,77.535369,
245583048,Puliyangudi,town,9.1756002,77.3966381,
245583686,Haripad,town,9.2844934,76.4562679,
245583689,Sethu Karai,village,9.2490483,78.843145,
245583753,Mandapam,town,9.282701,79.1526713,
245583770,Pudur,village,9.2943506,78.1357458,
245583779,Paruvakkudi,village,9.2901706,77.5485206,
245583830,Agastiarkuttam,village,9.3036696,78.9958348,
245583902,Mudukulattur,village,9.3444333,78.5155232,
245583914,Sattur,town,9.3516337,77.9211286,
245584040,Rajapalayam,town,9.4456102,77.5542849,
245584065,Devipattinam,town,9.4749165,78.8967566,
245584079,Saminattam,village,9.48068,77.7272053,
245584105,Alappuzha,city,9.4923271,76.3291487,
